"","name","median","hpd.low","hpd.high","hpd.width"
"1","TreeHeight",61.332,60.5,64.772,4.272
"2","SACount",17,9,23,14
"3","origin",63.854,60.599,71.482,10.883
"4","diversificationRate",0.033,0,0.089,0.088
"5","turnover",0.906,0.721,0.999,0.278
"6","samplingProportion",0.217,0.055,0.424,0.369
"7","ucldMean.dna",0.034,0.023,0.05,0.027
"8","ucldMean.morph",0.027,0.015,0.042,0.027
"9","ucldStdev.dna",0.292,0,0.527,0.527
"10","ucldStdev.morph",0.867,0.551,1.227,0.676
"11","rate.dna.mean",0.033,0.023,0.047,0.024
"12","rate.dna.variance",0,0,0.001,0.001
"13","rate.dna.coefficientOfVariation",0.294,0,0.536,0.536
"14","rate.morph.mean",0.028,0.016,0.042,0.025
"15","rate.morph.variance",0.001,0,0.003,0.003
"16","rate.morph.coefficientOfVariation",1.041,0.574,1.617,1.043
"17","TreeLength",198.505,158.176,245.615,87.438
