"","name","median","hpd.low","hpd.high","hpd.width"
"1","TreeHeight",61.27,60.5,64.283,3.783
"2","SACount",19,11,25,14
"3","origin",63.681,60.601,70.985,10.384
"4","diversificationRate",0.035,0.001,0.093,0.092
"5","turnover",0.891,0.685,0.997,0.312
"6","samplingProportion",0.253,0.074,0.479,0.405
"7","ucldMean.dna",0.036,0.027,0.046,0.019
"8","ucldMean.morph",0.027,0.016,0.042,0.027
"9","ucldStdev.dna",0.118,0,0.303,0.303
"10","ucldStdev.morph",0.828,0.531,1.148,0.616
"11","rate.dna.mean",0.036,0.027,0.045,0.018
"12","rate.dna.variance",0,0,0,0
"13","rate.dna.coefficientOfVariation",0.117,0,0.304,0.304
"14","rate.morph.mean",0.029,0.017,0.043,0.026
"15","rate.morph.variance",0.001,0,0.003,0.002
"16","rate.morph.coefficientOfVariation",0.983,0.555,1.462,0.907
"17","TreeLength",189.789,160.11,226.07,65.961
