"","name","median","hpd.low","hpd.high","hpd.width"
"1","TreeHeight",61.497,60.501,64.795,4.294
"2","SACount",6,3,10,7
"3","origin",64.033,60.61,71.5,10.89
"4","diversificationRate",0.029,0.002,0.069,0.067
"5","turnover",0.873,0.714,0.992,0.278
"6","samplingProportion",0.392,0.275,0.514,0.239
"7","ucldMean.dna",0.024,0.019,0.03,0.011
"8","ucldMean.morph",0.036,0.018,0.069,0.051
"9","ucldStdev.dna",0.1,0,0.304,0.304
"10","ucldStdev.morph",1.494,1.106,1.967,0.862
"11","rate.dna.mean",0.024,0.019,0.03,0.011
"12","rate.dna.variance",0,0,0,0
"13","rate.dna.coefficientOfVariation",0.1,0,0.305,0.305
"14","rate.morph.mean",0.04,0.021,0.071,0.05
"15","rate.morph.variance",0.007,0,0.035,0.035
"16","rate.morph.coefficientOfVariation",2.23,1.364,3.255,1.891
"17","TreeLength",315.527,269.822,364.488,94.666
