"","from","to","prob","length_median","length_hpd_l","length_hpd_h","nodes_median","nodes_hpd_l","nodes_hpd_h"
"1","Spheniscus_humboldti","Spheniscus_demersus",1,1.87539457089934,1.13572678338066,2.59823844224361,1,1,2
"2","Spheniscus_humboldti","Spheniscus_magellanicus",1,2.27455186694575,1.65916904561222,2.95635708685984,1,1,2
"3","Spheniscus_humboldti","Spheniscus_mendiculus",1,1.93851605235062,1.23299665095606,2.79879125929162,0,0,1
"88","Platydyptes_novaezealandiae","Platydyptes_marplesi",0.941,1.82636598092446,0.000691627097666014,6.88635376962958,0,0,1
"60","Platydyptes_novaezealandiae","Aptenodytes_forsteri",0.709,28.1100100800667,25.2017245211908,33.7548743553597,7,4,10
"61","Platydyptes_novaezealandiae","Aptenodytes_patagonicus",0.709,28.1100100800667,25.2017245211908,33.7548743553597,7,4,10
"62","Platydyptes_novaezealandiae","Pygoscelis_antarctica",0.709,28.1100100800667,25.2017245211908,33.7548743553597,8,5,10
"63","Platydyptes_novaezealandiae","Pygoscelis_papua",0.709,28.1100100800667,25.2017245211908,33.7548743553597,8,5,10
"64","Platydyptes_novaezealandiae","Pygoscelis_adeliae",0.709,28.1100100800667,25.2017245211908,33.7548743553597,7,4,9
"65","Platydyptes_novaezealandiae","Megadyptes_antipodes",0.709,28.041650764198,25.1844858195886,33.743953800479,8,6,11
"66","Platydyptes_novaezealandiae","Eudyptes_chrysocome",0.709,28.1100100800667,25.2017245211908,33.7548743553597,12,9,15
"67","Platydyptes_novaezealandiae","Eudyptes_chrysolophus",0.709,28.1100100800667,25.2017245211908,33.7548743553597,11,9,14
"68","Platydyptes_novaezealandiae","Eudyptes_filholi",0.709,28.1100100800667,25.2017245211908,33.7548743553597,12,9,15
"69","Platydyptes_novaezealandiae","Eudyptes_moseleyi",0.709,28.1100100800667,25.2017245211908,33.7548743553597,11,8,14
"70","Platydyptes_novaezealandiae","Eudyptes_pachyrhynchus",0.709,28.034293185611,25.1676525802192,33.7233396428674,12,8,14
"71","Platydyptes_novaezealandiae","Eudyptes_robustus",0.709,28.1100100800667,25.2017245211908,33.7548743553597,12,8,14
"72","Platydyptes_novaezealandiae","Eudyptes_schlegeli",0.709,28.1100100800667,25.2017245211908,33.7548743553597,11,9,14
"73","Platydyptes_novaezealandiae","Eudyptes_sclateri",0.709,28.1100100800667,25.2017245211908,33.7548743553597,11,7,13
"74","Platydyptes_novaezealandiae","Eudyptula_minor",0.709,28.0435187905794,25.2051577760911,33.7652345452453,7,4,11
"75","Platydyptes_novaezealandiae","Madrynornis_mirandus",0.709,18.1238572376071,15.3996593469541,23.9729980182117,7,4,9
"76","Platydyptes_novaezealandiae","Spheniscus_demersus",0.709,27.7245108387993,24.9206586763105,33.575663423393,14,10,17
"77","Platydyptes_novaezealandiae","Spheniscus_magellanicus",0.709,28.1100100800667,25.2017245211908,33.7548743553597,14,10,17
"78","Platydyptes_novaezealandiae","Spheniscus_humboldti",0.709,22.1288386179112,19.1540496694348,28.1495644403696,10,6,13
"79","Platydyptes_novaezealandiae","Spheniscus_mendiculus",0.709,28.1100100800667,25.2017245211908,33.7548743553597,13,9,16
"80","Platydyptes_novaezealandiae","Spheniscus_urbinai",0.709,18.4998084343675,15.4584783222984,24.5004981087787,8,5,11
"81","Platydyptes_novaezealandiae","Spheniscus_megaramphus",0.709,20.6673646841077,16.5297488464848,26.9672470525568,10,7,13
"82","Platydyptes_novaezealandiae","Spheniscus_muizoni",0.709,18.5568925893462,15.5735631631941,24.6525610612303,8,5,11
"83","Platydyptes_novaezealandiae","Marplesornis_novaezealandiae",0.709,22.4552475804445,13.5730711374068,29.6956446074039,9,3,13
"84","Platydyptes_novaezealandiae","Palaeospheniscus_biloculata",0.709,9.14761566110878,6.21402497787245,15.0819573264364,3,1,5
"85","Platydyptes_novaezealandiae","Palaeospheniscus_bergi",0.709,8.45102433183323,4.13201133323426,14.688876466891,3,0,5
"86","Platydyptes_novaezealandiae","Palaeospheniscus_patagonicus",0.709,9.11826951566268,6.19797151203243,15.0778488136904,3,1,5
"87","Platydyptes_novaezealandiae","Eretiscus_tonnii",0.709,9.21539673762646,6.26671953611092,15.1109131782255,3,1,5
"95","Platydyptes_novaezealandiae","Pygoscelis_grandis",0.709,22.3148480251369,18.2228456003618,28.5330057897383,7,4,10
"313","Delphinornis_wimani","Delphinornis_arctowskii",0.687,1.93266629625712,0.000545449936844022,4.91583848965918,0,0,1
"24","Spheniscus_muizoni","Spheniscus_demersus",0.58,8.11017233140738,6.11964588872457,9.69926905004499,3,3,5
"25","Spheniscus_muizoni","Spheniscus_magellanicus",0.58,8.53506199412283,6.65375080162164,10.1913073534723,3,3,5
"26","Spheniscus_muizoni","Spheniscus_humboldti",0.58,2.46312578317694,0.500027792112755,4.03336593929754,0,0,2
"27","Spheniscus_muizoni","Spheniscus_mendiculus",0.58,8.53506199412283,6.65375080162164,10.1913073534723,3,3,5
"355","Delphinornis_larseni","Delphinornis_gracilis",0.545,1.62961854937715,0.00210096904118018,4.37703730038559,0,0,1
"1200","Waimanu_manneringi","Mesetaornis_polaris",0.499,19.8773687917364,19.3416568199021,20.3804628628177,5,2,7
"1201","Waimanu_manneringi","Marambiornis_exilis",0.499,19.6044601317364,19.0687481599021,20.1075542028177,5,2,7
"1196","Waimanu_manneringi","Delphinornis_wimani",0.499,19.7563892741042,19.2202751329304,20.2591635628177,5,2,7
"1198","Waimanu_manneringi","Delphinornis_arctowskii",0.499,23.9909650174632,21.50715762434,26.9433680425922,7,4,10
"1197","Waimanu_manneringi","Delphinornis_gracilis",0.499,23.8307636783815,21.3898529811969,26.7793197596969,7,3,10
"1199","Waimanu_manneringi","Delphinornis_larseni",0.499,20.8735454499846,19.8220154695973,21.8193959157258,5,2,8
"1152","Waimanu_manneringi","Aptenodytes_forsteri",0.499,61.0380594467143,60.5017631329304,61.5406515628177,18,13,23
"1153","Waimanu_manneringi","Aptenodytes_patagonicus",0.499,61.0380594467143,60.5017631329304,61.5406515628177,18,13,23
"1154","Waimanu_manneringi","Pygoscelis_antarctica",0.499,61.0380594467143,60.5017631329304,61.5406515628177,18,13,23
"1155","Waimanu_manneringi","Pygoscelis_papua",0.499,61.0380594467143,60.5017631329304,61.5406515628177,18,13,23
"1156","Waimanu_manneringi","Pygoscelis_adeliae",0.499,61.0380594467143,60.5017631329304,61.5406515628177,17,12,22
"1157","Waimanu_manneringi","Megadyptes_antipodes",0.499,60.9734783800215,60.4574521992043,61.5064193630635,19,13,23
"1158","Waimanu_manneringi","Eudyptes_chrysocome",0.499,61.0380594467143,60.5017631329304,61.5406515628177,22,17,27
"1159","Waimanu_manneringi","Eudyptes_chrysolophus",0.499,61.0380594467143,60.5017631329304,61.5406515628177,22,16,26
"1160","Waimanu_manneringi","Eudyptes_filholi",0.499,61.0380594467143,60.5017631329304,61.5406515628177,22,17,27
"1161","Waimanu_manneringi","Eudyptes_moseleyi",0.499,61.0380594467143,60.5017631329304,61.5406515628177,21,16,26
"1162","Waimanu_manneringi","Eudyptes_pachyrhynchus",0.499,60.9687548683945,60.4662812003129,61.519087002792,22,17,27
"1163","Waimanu_manneringi","Eudyptes_robustus",0.499,61.0380594467143,60.5017631329304,61.5406515628177,22,17,27
"1164","Waimanu_manneringi","Eudyptes_schlegeli",0.499,61.0380594467143,60.5017631329304,61.5406515628177,22,16,26
"1165","Waimanu_manneringi","Eudyptes_sclateri",0.499,61.0380594467143,60.5017631329304,61.5406515628177,21,16,26
"1166","Waimanu_manneringi","Eudyptula_minor",0.499,60.9752120867141,60.4546517941638,61.5128279390832,18,12,23
"1167","Waimanu_manneringi","Madrynornis_mirandus",0.499,51.044863009446,50.3781853621728,51.7057976467273,17,11,21
"1168","Waimanu_manneringi","Spheniscus_demersus",0.499,60.6284915415564,59.9785566830925,61.3377219865386,24,18,29
"1169","Waimanu_manneringi","Spheniscus_magellanicus",0.499,61.0380594467143,60.5017631329304,61.5406515628177,24,18,29
"1170","Waimanu_manneringi","Spheniscus_humboldti",0.499,55.0651519635661,53.8774005880564,56.1365304768062,21,15,26
"1171","Waimanu_manneringi","Spheniscus_mendiculus",0.499,61.0380594467143,60.5017631329304,61.5406515628177,24,18,29
