"","species","probabilities","labels"
"Spheniscus_demersus","Spheniscus_demersus",0.000802320557921373,0.001
"Spheniscus_humboldti","Spheniscus_humboldti",1,1
"Spheniscus_urbinai","Spheniscus_urbinai",0.616243905449608,0.616
"Spheniscus_megaramphus","Spheniscus_megaramphus",0.26346972782818,0.263
"Spheniscus_muizoni","Spheniscus_muizoni",0.762389680923286,0.762
"Palaeospheniscus_bergi","Palaeospheniscus_bergi",0.802814293649324,0.803
"Platydyptes_novaezealandiae","Platydyptes_novaezealandiae",0.973153119792631,0.973
"Palaeeudyptes_klekowskii","Palaeeudyptes_klekowskii",0.591803986916003,0.592
"Palaeeudyptes_gunnari","Palaeeudyptes_gunnari",0.810220329568598,0.81
"Anthropornis_nordenskjoeldi","Anthropornis_nordenskjoeldi",0.0195025612540887,0.02
"Anthropornis_grandis","Anthropornis_grandis",0.00857865827315929,0.009
"Delphinornis_wimani","Delphinornis_wimani",0.743319138431155,0.743
"Delphinornis_larseni","Delphinornis_larseni",0.517126458063322,0.517
"Mesetaornis_polaris","Mesetaornis_polaris",0.0483861013392582,0.048
"Marambiornis_exilis","Marambiornis_exilis",0.170462260075295,0.17
"Muriwaimanu_tuatahi","Muriwaimanu_tuatahi",0.596803061161513,0.597
"Pygoscelis_grandis","Pygoscelis_grandis",0.42948836635191,0.429
"Palaeeudyptes_antarcticus","Palaeeudyptes_antarcticus",0.657409121767574,0.657
"Madrynornis_mirandus","Madrynornis_mirandus",0.592421156575943,0.592
"Marplesornis_novaezealandiae","Marplesornis_novaezealandiae",0.00610997963340122,0.006
"Palaeospheniscus_biloculata","Palaeospheniscus_biloculata",0.201505893970252,0.202
"Palaeospheniscus_patagonicus","Palaeospheniscus_patagonicus",0.236746281552799,0.237
"Eretiscus_tonnii","Eretiscus_tonnii",0.0244399185336049,0.024
"Platydyptes_marplesi","Platydyptes_marplesi",0.184163426525952,0.184
"Archaeospheniscus_lopdelli","Archaeospheniscus_lopdelli",0.302906869098315,0.303
"Archaeospheniscus_lowei","Archaeospheniscus_lowei",0.149108189841387,0.149
"Pachydyptes_ponderosus","Pachydyptes_ponderosus",0.215762513114855,0.216
"Perudyptes_devriesi","Perudyptes_devriesi",0.334937974449176,0.335
"Icadyptes_salasi","Icadyptes_salasi",0.452076775905696,0.452
"Inkayacu_paracasensis","Inkayacu_paracasensis",0.0676417947293711,0.068
"Burnside_Palaeeudyptes","Burnside_Palaeeudyptes",0.112078010245016,0.112
"Kairuku_waitaki","Kairuku_waitaki",0.173301240511016,0.173
"Kairuku_grebneffi","Kairuku_grebneffi",0.068999567981238,0.069
"Delphinornis_gracilis","Delphinornis_gracilis",0.0201814478800222,0.02
"Delphinornis_arctowskii","Delphinornis_arctowskii",0.0617786829599457,0.062
"Waimanu_manneringi","Waimanu_manneringi",0.558908844041227,0.559
"Duntroonornis_parvus","Duntroonornis_parvus",0.297290625192866,0.297
