"","from","to","prob","length_median","length_hpd_l","length_hpd_h","nodes_median","nodes_hpd_l","nodes_hpd_h"
"2","Spheniscus_humboldti","Spheniscus_demersus",1,1.61447968741136,0.780501122142808,2.44933752353857,1,1,1
"3","Spheniscus_humboldti","Spheniscus_magellanicus",1,2.07103914377993,1.21961332300942,2.78455380462821,1,1,1
"4","Spheniscus_humboldti","Spheniscus_mendiculus",1,1.60329344385717,0.775810201458432,2.30978203428379,0,0,0
"121","Platydyptes_novaezealandiae","Platydyptes_marplesi",0.903,2.64303664093556,0.00286191019594639,7.50222747577247,0,0,1
"91","Platydyptes_novaezealandiae","Megadyptes_antipodes",0.782,27.7883478557363,25.118156019996,33.4783762620056,9,6,11
"92","Platydyptes_novaezealandiae","Eudyptes_pachyrhynchus",0.782,27.7795961481601,25.1504081628938,33.5296952386421,12,9,15
"93","Platydyptes_novaezealandiae","Eudyptula_minor",0.782,27.7809508353284,25.0989114391325,33.4830614163548,7,4,11
"94","Platydyptes_novaezealandiae","Spheniscus_demersus",0.782,27.390894256805,24.5959977075647,33.1478180994038,13,9,16
"95","Platydyptes_novaezealandiae","Spheniscus_humboldti",0.782,21.832401477476,18.821547079526,27.9522184335936,10,6,13
"96","Platydyptes_novaezealandiae","Spheniscus_urbinai",0.782,18.1066434729549,15.0462170243883,24.2709523915691,8,5,11
"97","Platydyptes_novaezealandiae","Spheniscus_megaramphus",0.782,19.9289447471288,15.6605575011554,26.0970393817402,10,7,13
"98","Platydyptes_novaezealandiae","Spheniscus_muizoni",0.782,18.187811683594,15.1774426912121,24.4141680883406,8,5,11
"99","Platydyptes_novaezealandiae","Palaeospheniscus_bergi",0.782,8.14547136657093,3.54757752445947,14.3497694381119,2,0,4
"101","Platydyptes_novaezealandiae","Pygoscelis_grandis",0.782,21.5628171310106,17.4087018495314,27.6183890186074,8,5,11
"102","Platydyptes_novaezealandiae","Aptenodytes_forsteri",0.782,27.8561958652763,25.2015307293739,33.546876028688,9,5,13
"103","Platydyptes_novaezealandiae","Aptenodytes_patagonicus",0.782,27.8561958652763,25.2015307293739,33.546876028688,9,5,13
"104","Platydyptes_novaezealandiae","Pygoscelis_antarctica",0.782,27.8561958652763,25.2015307293739,33.546876028688,9,6,14
"105","Platydyptes_novaezealandiae","Pygoscelis_papua",0.782,27.8561958652763,25.2015307293739,33.546876028688,9,6,14
"106","Platydyptes_novaezealandiae","Pygoscelis_adeliae",0.782,27.8561958652763,25.2015307293739,33.546876028688,8,5,13
"107","Platydyptes_novaezealandiae","Eudyptes_chrysocome",0.782,27.8561958652763,25.2015307293739,33.546876028688,13,10,16
