"Species","First.start","First.end","Last.start","Last.end"
"Anthropornis_grandis",39.5,34,"-","-"
"Anthropornis_nordenskjoeldi",39,34,"-","-"
"Archaeospheniscus_lopdelli",27.3,25.2,"-","-"
"Archaeospheniscus_lowei",27.3,25.2,"-","-"
"Burnside_Palaeeudyptes",37.2,36,"-","-"
"Delphinornis_arctowskii",39.5,34,"-","-"
"Delphinornis_gracilis",39.5,34,"-","-"
"Delphinornis_wimani",39.5,34,"-","-"
"Duntroonornis_parvus",27.3,25.2,"-","-"
"Eretiscus_tonnii",19.8,18.2,"-","-"
"Icadyptes_salasi",37.2,35.7,"-","-"
"Inkayacu_paracasensis",37.2,35.7,"-","-"
"Kairuku_grebneffi",27.3,25.2,"-","-"
"Kairuku_waitaki",28.1,25.2,"-","-"
"Madrynornis_mirandus",10.3,9.7,"-","-"
"Marambiornis_exilis",39.5,34,"-","-"
"Marplesornis_novaezealandiae",13.8,1.8,"-","-"
"Mesetaornis_polaris",39.5,34,"-","-"
"Pachydyptes_ponderosus",36,34.3,"-","-"
"Palaeeudyptes_klekowskii",39.5,34,"-","-"
"Palaeospheniscus_biloculata",19.8,18.2,"-","-"
"Palaeospheniscus_patagonicus",19.8,18.2,"-","-"
"Perudyptes_devriesi",47.8,41.3,"-","-"
"Platydyptes_marplesi",27.3,25.2,"-","-"
"Waimanu_manneringi",61.6,60.5,"-","-"
"Eudyptula_minor",0.126,0.0117,"-","-"
"Spheniscus_humboldti",7.2,5.3,"-","-"
"Spheniscus_demersus",0.781,0.126,"-","-"
"Megadyptes_antipodes",0.126,0.0117,"-","-"
"Eudyptes_pachyrhynchus",0.126,0.0117,"-","-"
"Delphinornis_larseni",41,39.5,"39.5","34"
"Muriwaimanu_tuatahi",60.5,58,"58.7","55.8"
"Palaeeudyptes_antarcticus",37.2,36,"25.2","21.7"
"Palaeeudyptes_gunnari",44,41.5,"39.5","34"
"Palaeospheniscus_bergi",24.01,18.2,"15.97","11.61"
"Paraptenodytes_antarcticus",19.8,18.2,"17.5","16.3"
"Platydyptes_novaezealandiae",36,34.3,"27.3","25.2"
"Pygoscelis_grandis",8.6,4.5,"4.5","2.6"
"Spheniscus_megaramphus",11.6,5.3,"7.2","5.3"
"Spheniscus_muizoni",11.6,9,"9","3.6"
"Spheniscus_urbinai",11.6,9,"9","5.3"
