"","species","missingChars"
"1","Aptenodytes forsteri",26.46
"2","Aptenodytes patagonicus",21.5
"3","Pygoscelis antarctica",24.7
"4","Pygoscelis papua",24.69
"5","Pygoscelis adeliae",23.17
"7","Megadyptes antipodes",26.21
"11","Eudyptes chrysocome",86.2
"12","Eudyptes chrysolophus",25.01
"13","Eudyptes filholi",85.25
"14","Eudyptes moseleyi",85.25
"16","Eudyptes pachyrhynchus",26.45
"15","Eudyptes robustus",26.3
"17","Eudyptes schlegeli",26.3
"18","Eudyptes sclateri",27.34
"110","Eudyptula minor",21.22
"19","Madrynornis mirandus",100
"112","Spheniscus demersus",26.43
"111","Spheniscus magellanicus",26.22
"114","Spheniscus humboldti",26.32
"113","Spheniscus mendiculus",26.37
"115","Marplesornis novaezealandiae",100
"116","Palaeospheniscus biloculata",100
"117","Palaeospheniscus patagonicus",100
"118","Eretiscus tonnii",100
"119","Platydyptes marplesi",100
"120","Archaeospheniscus lopdelli",100
"121","Archaeospheniscus lowei",100
"122","Pachydyptes ponderosus",100
"123","Perudyptes devriesi",100
"124","Icadyptes salasi",100
"125","Inkayacu paracasensis",100
"126","Burnside Palaeeudyptes",100
"127","Kairuku waitaki",100
"128","Kairuku grebneffi",100
"129","Delphinornis gracilis",100
"130","Delphinornis arctowskii",100
"131","Waimanu manneringi",100
"132","Duntroonornis parvus",100
