"","species","missingChars"
"1","Aptenodytes forsteri",2.75
"2","Aptenodytes patagonicus",4.31
"3","Pygoscelis antarctica",4.55
"4","Pygoscelis papua",4.12
"5","Pygoscelis adeliae",2.35
"6","Megadyptes antipodes",3.17
"7","Eudyptes chrysocome",11.9
"8","Eudyptes chrysolophus",0.78
"9","Eudyptes filholi",12.3
"10","Eudyptes moseleyi",8.73
"11","Eudyptes pachyrhynchus",1.92
"12","Eudyptes robustus",9.02
"13","Eudyptes schlegeli",3.14
"14","Eudyptes sclateri",8.63
"15","Eudyptula minor",2.33
"16","Madrynornis mirandus",63.22
"17","Spheniscus demersus",3.14
"18","Spheniscus magellanicus",3.57
"19","Spheniscus humboldti",2.78
"20","Spheniscus mendiculus",4.76
"21","Spheniscus urbinai",64.68
"22","Spheniscus megaramphus",86.9
"23","Spheniscus muizoni",79.37
"24","Marplesornis novaezealandiae",74.6
"25","Palaeospheniscus biloculata",79.22
"26","Palaeospheniscus bergi",77.25
"27","Palaeospheniscus patagonicus",70.98
"28","Eretiscus tonnii",84.13
"29","Platydyptes novaezealandiae",89.29
"30","Platydyptes marplesi",80.16
"31","Paraptenodytes antarcticus",68.25
"32","Archaeospheniscus lopdelli",86.9
"33","Archaeospheniscus lowei",83.73
"34","Pachydyptes ponderosus",81.18
"35","Perudyptes devriesi",76.86
"36","Icadyptes salasi",68.65
"37","Inkayacu paracasensis",57.14
"38","Burnside Palaeeudyptes",80.95
"39","Kairuku waitaki",76.59
"40","Kairuku grebneffi",68.25
"41","Palaeeudyptes klekowskii",84.13
"42","Palaeeudyptes gunnari",83.33
"43","Anthropornis nordenskjoeldi",92.86
"44","Anthropornis grandis",88.49
"45","Delphinornis wimani",93.33
"46","Delphinornis gracilis",91.37
"47","Delphinornis arctowskii",92.86
"48","Delphinornis larseni",92.86
"49","Mesetaornis polaris",92.86
"50","Marambiornis exilis",92.86
"51","Muriwaimanu tuatahi",69.84
"52","Waimanu manneringi",87.3
"53","Duntroonornis parvus",94.44
"54","Pygoscelis grandis",86.11
"55","Palaeeudyptes antarcticus",93.25
