"","crown_age_and_probs"
"crown_age_mean",14.499263451583
"crown_age_hpd_l",11.021245
"crown_age_hpd_h",17.816948
"Pygoscelis_grandis_first",1
"Pygoscelis_grandis_last",1
"Madrynornis_mirandus_first",0.99
"Spheniscus_megaramphus_first",0.99
"Spheniscus_muizoni_first",0.99
"Spheniscus_urbinai_first",0.99
"Spheniscus_megaramphus_last",0.99
"Spheniscus_muizoni_last",0.99
"Spheniscus_urbinai_last",0.99
"Marplesornis_novaezealandiae_first",0.72
"Palaeospheniscus_bergi_last",0.32
"Eretiscus_tonnii_first",0
"Palaeospheniscus_bergi_first",0
"Palaeospheniscus_biloculata_first",0
"Palaeospheniscus_patagonicus_first",0
